hcat,n_estonia,n_latvia,n_portugal,n_total,hcat_name,crop_name,level,share_pct,n_countries
3303020100,36,64,0,100,aronia_chokeberries,aronia chokeberries,5,0.014150616330094257,2
3303010700,0,0,97,97,kiwi,kiwi,5,0.01372609784019143,1
3301160000,0,89,0,89,soy_soybeans,soy soybeans,4,0.012594048533783889,1
3301280000,8,9,70,87,tomato,tomato,4,0.012311036207182003,3
3301061215,77,9,0,86,coriander,coriander,6,0.012169530043881062,2
3301140100,55,31,0,86,cucumber_pickle,cucumber pickle,5,0.012169530043881062,2
3301061211,0,84,0,84,caraway,caraway,6,0.011886517717279176,1
3306020000,0,80,0,80,aspen,aspen,4,0.011320493064075406,1
3301210212,78,0,0,78,white_cabbage,white cabbage,6,0.01103748073747352,1
3301220400,63,0,15,78,onions,onions,5,0.01103748073747352,2
3301090305,10,67,0,77,vetches,vetches,6,0.010895974574172579,2
3301010400,0,0,69,69,barley,barley,5,0.009763925267765037,1
3301210500,25,38,0,63,swede_rutabaga,swede rutabaga,5,0.008914888287959381,2
3301290600,6,56,0,62,radish,radish,5,0.00877338212465844,2
3301011000,62,0,0,62,spelt,spelt,5,0.00877338212465844,1
3301290800,28,7,25,60,turnips,turnips,5,0.008490369798056554,3
3303011100,0,0,58,58,peach,peach,5,0.008207357471454669,1
3303010600,0,30,27,57,fig,fig,5,0.008065851308153727,2
3301061213,7,49,0,56,chamomile,chamomile,6,0.007924345144852784,2
3301061300,42,12,0,54,marian_thistles,marian thistles,5,0.007641332818250899,2
3303080500,23,29,0,52,honeysuckle,honeysuckle,5,0.007358320491649014,2
3301180000,25,27,0,52,topinambur_jerusalem_artichoke,topinambur jerusalem artichoke,4,0.007358320491649014,2
3301061208,50,0,0,50,black_cumin,black cumin,6,0.0070753081650471285,1
3301060702,27,20,0,47,flax_linseed_oil,flax linseed oil,6,0.0066507896751443005,2
3301061227,5,33,0,38,parsly,parsly,6,0.0053772342054358175,2
3303021100,37,0,0,37,redcurrant,redcurrant,5,0.005235728042134875,1
3301210204,5,31,0,36,cauliflower,cauliflower,6,0.005094221878833932,2
3301020300,0,36,0,36,esparsette_onobrychis,esparsette onobrychis,5,0.005094221878833932,1
3301011400,0,32,0,32,canary_seed_canaryseed,canary seed canaryseed,5,0.004528197225630162,1
3301010800,0,0,29,29,triticale,triticale,5,0.0041036787357273345,1
3301310700,0,29,0,29,sorrel,sorrel,5,0.0041036787357273345,1
3303021300,2,26,0,28,rowan_rowanberries,rowan rowanberries,5,0.003962172572426392,2
3301082600,0,27,0,27,lotus,lotus,5,0.0038206664091254496,1
3306050000,0,0,27,27,eucalyptus,eucalyptus,4,0.0038206664091254496,1
3301080000,18,0,8,26,flowers_ornamental_plants,flowers ornamental plants,4,0.003679160245824507,2
3301200000,6,20,0,26,aspargus,aspargus,4,0.003679160245824507,2
3301060500,14,0,11,25,sunflower,sunflower,5,0.0035376540825235643,2
3301069900,23,0,0,23,other_industrial_crops,other industrial crops,5,0.0032546417559216794,1
3303020700,5,15,0,20,gooseberry_gooseberries_cranberries,gooseberry gooseberries cranberries,5,0.0028301232660188514,2
3301061209,7,13,0,20,borage,borage,6,0.0028301232660188514,2
3301020200,2,0,16,18,chickpeas,chickpeas,5,0.002547110939416966,2
3301061210,11,7,0,18,calendula_marigold,calendula marigold,6,0.002547110939416966,2
3301310000,7,6,5,18,salads_lettuce_leaf_vegetables,salads lettuce leaf vegetables,4,0.002547110939416966,3
3301140300,1,9,7,17,melon,melon,5,0.002405604776116024,3
3301290500,10,7,0,17,parsnips,parsnips,5,0.002405604776116024,2
3301040000,0,0,16,16,sweet_potatoes,sweet potatoes,4,0.002264098612815081,1
3303990000,11,0,5,16,other_permanent_crops_plantations,other permanent crops plantations,4,0.002264098612815081,2
3301011002,0,15,0,15,spring_spelt,spring spelt,6,0.0021225924495141386,1
3303030200,1,0,12,13,hazelnuts_hazel,hazelnuts hazel,5,0.0018395801229122535,2
3303020200,0,12,1,13,blackberry,blackberry,5,0.0018395801229122535,2
3301061219,2,10,0,12,lavender_lavandula,lavender lavandula,6,0.0016980739596113108,2
3301220300,4,8,0,12,leek,leek,5,0.0016980739596113108,2
3301210400,1,10,0,11,horseradish,horseradish,5,0.0015565677963103684,2
3301081400,11,0,0,11,dandelions,dandelions,5,0.0015565677963103684,1
3301081700,10,0,0,10,fiddleneck_amsinckia,fiddleneck amsinckia,5,0.0014150616330094257,1
3301061222,8,0,0,8,mints_peppermint,mints peppermint,6,0.0011320493064075406,1
3303080400,0,8,0,8,elder_elderberry,elder elderberry,5,0.0011320493064075406,1
3301310800,0,6,1,7,spinach,spinach,5,0.000990543143106598,2
3301060701,0,7,0,7,flax_linen,flax linen,6,0.000990543143106598,1
3301250000,3,4,0,7,celery,celery,4,0.000990543143106598,2
3301210208,6,0,0,6,kale,kale,6,0.0008490369798056554,1
3301061600,6,0,0,6,onobrychis_sainfoins,onobrychis sainfoins,5,0.0008490369798056554,1
3301210202,4,0,0,4,broccoli,broccoli,6,0.0005660246532037703,1
3303010300,0,0,4,4,apricots,apricots,5,0.0005660246532037703,1
3301140600,0,0,4,4,zucchini_courgette,zucchini courgette,5,0.0005660246532037703,1
3304030000,3,0,0,3,sida_virginia_mallow,sida virginia mallow,4,0.0004245184899028277,1
3303011400,0,0,3,3,pomegranate,pomegranate,5,0.0004245184899028277,1
3301140500,1,0,2,3,watermelon,watermelon,5,0.0004245184899028277,2
3301061228,0,0,3,3,piper_pepper,piper pepper,6,0.0004245184899028277,1
3301083700,3,0,0,3,roses,roses,5,0.0004245184899028277,1
3301081000,3,0,0,3,cornflowers,cornflowers,5,0.0004245184899028277,1
3301300100,2,1,0,3,bell_pepper_paprika,bell pepper paprika,5,0.0004245184899028277,2
3301061223,3,0,0,3,moldavian_dragonhead,moldavian dragonhead,6,0.0004245184899028277,1
3301290700,3,0,0,3,sugar_beet,sugar beet,5,0.0004245184899028277,1
3301090208,0,2,0,2,switchgrass,switchgrass,6,0.00028301232660188515,1
3301061212,2,0,0,2,catnip,catnip,6,0.00028301232660188515,1
3303030400,0,0,2,2,pistachio,pistachio,5,0.00028301232660188515,1
3301060200,2,0,0,2,hops,hops,5,0.00028301232660188515,1
3301310200,1,1,0,2,chicory_chicories,chicory chicories,5,0.00028301232660188515,2
3301250200,2,0,0,2,leaf_celery,leaf celery,5,0.00028301232660188515,1
3301120000,2,0,0,2,kitchen_gardens,kitchen gardens,4,0.00028301232660188515,1
3303100000,0,0,2,2,avocado,avocado,4,0.00028301232660188515,1
3301170000,2,0,0,2,fennel,fennel,4,0.00028301232660188515,1
3301061204,1,0,0,1,angelica,angelica,6,0.00014150616330094258,1
3301020500,1,0,0,1,lentils,lentils,5,0.00014150616330094258,1
3301061205,1,0,0,1,anise_aniseed,anise aniseed,6,0.00014150616330094258,1
3301060800,0,0,1,1,oilseed_crops,oilseed crops,5,0.00014150616330094258,1
3301060400,0,0,1,1,rapeseed_rape,rapeseed rape,5,0.00014150616330094258,1
3301210300,0,0,1,1,cress,cress,5,0.00014150616330094258,1
3301061239,1,0,0,1,yarrow,yarrow,6,0.00014150616330094258,1
3301061220,1,0,0,1,lemon_balm_melissa,lemon balm melissa,6,0.00014150616330094258,1
3301061226,1,0,0,1,oregano,oregano,6,0.00014150616330094258,1
3301061234,1,0,0,1,st_johns_wort,st johns wort,6,0.00014150616330094258,1
3301083500,1,0,0,1,primrose,primrose,5,0.00014150616330094258,1
3301260000,0,0,1,1,aubergine_eggplant,aubergine eggplant,4,0.00014150616330094258,1
3301310400,1,0,0,1,iceberg,iceberg,5,0.00014150616330094258,1
